batch,acc,batch,loss,size
0,0.0977738,0,5.01896,10
1,0.732331,1,3.65852,10
2,0.603763,2,3.4742,10
3,0.60055,3,4.306,10
4,0.46775,4,3.79198,10
5,0.668356,5,3.83386,10
6,0.485158,6,3.49004,10
7,0.615077,7,4.66649,10
8,0.46475,8,4.14572,10
9,0.692543,9,3.47398,10
10,0.782729,10,2.98023,10
11,0.668489,11,3.47233,10
12,0.667907,12,3.25643,10
13,0.730248,13,3.16788,10
14,0.540229,14,3.88771,10
15,0.674376,15,3.5818,10
16,0.639796,16,3.51955,10
17,0.62952,17,3.71015,10
18,0.662925,18,3.3447,10
19,0.480236,19,3.62618,10
20,0.603249,20,4.08705,10
21,0.359421,21,4.08384,10
22,0.682181,22,3.47846,10
23,0.685029,23,3.19735,10
24,0.618363,24,3.59344,10
25,0.614005,25,3.48898,10
26,0.616231,26,3.40879,10
27,0.578263,27,3.80683,10
28,0.61368,28,3.39928,10
29,0.650094,29,3.75032,10
30,0.588266,30,3.31529,10
31,0.651047,31,3.66493,10
32,0.548185,32,3.63284,10
33,0.636611,33,3.37244,10
34,0.70065,34,3.11707,10
35,0.661113,35,3.29902,10
36,0.708331,36,3.03334,10
37,0.653508,37,3.08467,10
38,0.511285,38,3.19895,10
39,0.645679,39,3.23169,10
40,0.673478,40,3.44278,10
41,0.620905,41,3.27566,10
42,0.803359,42,2.60644,10
43,0.599829,43,3.92393,10
44,0.289959,44,4.3582,10
45,0.715978,45,3.78045,10
46,0.553982,46,3.84038,10
47,0.259248,47,3.92433,10
48,0.641305,48,4.31285,10
49,0.582038,49,3.93744,10
50,0.54098,50,3.51386,10
51,0.560336,51,3.62529,10
52,0.341131,52,4.0693,10
53,0.705082,53,2.98785,10
54,0.621847,54,3.23416,10
55,0.685471,55,3.05583,10
56,0.629977,56,3.10963,10
57,0.587845,57,3.14461,10
58,0.737337,58,3.03665,10
59,0.575983,59,3.58261,10
60,0.573799,60,3.01,10
61,0.754285,61,3.09143,10
62,0.660918,62,3.17074,10
63,0.595716,63,3.09974,10
64,0.661914,64,3.35272,10
65,0.659148,65,2.86958,10
66,0.680784,66,2.69499,10
67,0.538646,67,3.21666,10
68,0.702822,68,2.83739,10
69,0.810131,69,2.32567,10
70,0.709752,70,2.64399,10
71,0.662321,71,3.10275,10
72,0.773426,72,2.61963,10
73,0.44269,73,4.52295,10
74,0.00249721,74,5.24716,10
75,0.766405,75,2.77562,10
76,0.764615,76,2.88674,10
77,0.540703,77,4.00461,10
78,0.576266,78,3.79366,10
79,0.613249,79,3.26398,10
80,0.642489,80,3.09236,10
81,0.701786,81,2.9575,10
82,0.549659,82,3.53879,10
83,0.616548,83,3.09962,10
84,0.818661,84,2.466,10
85,0.724915,85,2.61951,10
86,0.6126,86,2.93644,10
87,0.60569,87,3.00529,10
88,0.648426,88,3.06939,10
89,0.617389,89,2.97652,10
90,0.725959,90,2.60729,10
91,0.750582,91,2.62223,10
92,0.711767,92,2.70926,10
93,0.561242,93,3.30935,10
94,0.695837,94,2.85974,10
95,0.666285,95,2.89398,10
96,0.73242,96,2.79334,10
97,0.573521,97,3.59416,10
98,0.622551,98,3.10599,10
99,0.58137,99,3.63724,10
100,0.456206,100,3.27592,10
101,0.648649,101,3.1579,10
102,0.669137,102,2.78783,10
103,0.778821,103,2.48841,10
104,0.596905,104,3.45273,10
105,0.590229,105,3.05687,10
106,0.661408,106,3.03938,10
107,0.550951,107,3.24817,10
108,0.566171,108,2.9548,10
109,0.716552,109,2.87722,10
110,0.634202,110,2.89824,10
111,0.633943,111,3.00794,10
112,0.723268,112,2.66855,10
113,0.755591,113,2.56285,10
114,0.693461,114,2.82275,10
115,0.712951,115,2.84241,10
116,0.750022,116,2.4847,10
117,0.710087,117,2.72217,10
118,0.536454,118,3.55846,10
119,0.468076,119,3.3994,10
120,0.738409,120,2.58342,10
121,0.752089,121,2.80546,10
122,0.727795,122,2.63399,10
123,0.704136,123,2.41834,10
124,0.800389,124,2.18211,10
125,0.771616,125,2.43938,10
126,0.67741,126,2.72909,10
127,0.633957,127,3.24781,10
128,0.710705,128,2.7877,10
129,0.749205,129,2.46516,10
130,0.600369,130,3.00509,10
131,0.791646,131,2.43598,10
132,0.677466,132,2.83768,10
133,0.756537,133,2.41724,10
134,0.704241,134,2.57201,10
135,0.610617,135,3.11151,10
136,0.750714,136,2.49654,10
137,0.683538,137,2.86609,10
138,0.758411,138,2.41508,10
139,0.514882,139,3.43335,10
140,0.395606,140,3.16811,10
141,0.737168,141,2.77755,10
142,0.619149,142,3.28358,10
143,0.602338,143,3.17969,10
144,0.704777,144,2.69522,10
145,0.678767,145,2.80216,10
0,0.74959,0,2.50362,10
1,0.487713,1,3.35346,10
2,0.397997,2,3.50215,10
3,0.647047,3,3.05811,10
4,0.693206,4,2.84817,10
5,0.579455,5,3.56109,10
6,0.794928,6,2.28031,10
7,0.711757,7,2.65629,10
8,0.686544,8,2.58997,10
9,0.626551,9,2.79277,10
10,0.723986,10,2.799,10
11,0.622634,11,2.8423,10
12,0.795717,12,2.38893,10
13,0.747908,13,2.40288,10
14,0.726258,14,2.62922,10
15,0.639027,15,3.00698,10
16,0.579598,16,3.07033,10
17,0.519808,17,3.41321,10
18,0.478906,18,3.39911,10
19,0.619753,19,2.75908,10
20,0.526995,20,2.96966,10
21,0.697991,21,2.34937,10
22,0.818663,22,1.96996,10
23,0.622868,23,2.77496,10
24,0.622075,24,2.99429,10
25,0.542652,25,3.17964,10
26,0.678725,26,2.79303,10
27,0.664826,27,2.63118,10
28,0.723346,28,2.51825,10
29,0.661616,29,2.85097,10
30,0.573175,30,2.96971,10
31,0.728978,31,2.66011,10
32,0.688612,32,2.8098,10
33,0.759062,33,2.31371,10
34,0.718344,34,2.43431,10
35,0.736356,35,2.50118,10
36,0.718647,36,2.72259,10
37,0.700666,37,2.53231,10
38,0.679291,38,2.73637,10
39,0.691572,39,2.73806,10
40,0.657432,40,2.59724,10
41,0.635346,41,2.89339,10
42,0.762267,42,2.48705,10
43,0.779233,43,2.1982,10
44,0.613327,44,2.95206,10
45,0.65407,45,2.68766,10
46,0.627099,46,2.71881,10
47,0.623599,47,2.84208,10
48,0.818454,48,2.19755,10
49,0.716112,49,2.39628,10
50,0.679399,50,2.79176,10
51,0.691655,51,2.55114,10
52,0.710292,52,2.50604,10
53,0.631505,53,2.54909,10
54,0.744592,54,2.25996,10
55,0.837708,55,1.9883,10
56,0.715655,56,2.62045,10
57,0.652105,57,2.57901,10
58,0.710754,58,2.44981,10
59,0.722943,59,2.45618,10
60,0.792335,60,2.02814,10
61,0.675965,61,2.83224,10
62,0.774197,62,2.16839,10
63,0.466251,63,3.76295,10
64,0.418346,64,3.21782,10
65,0.544645,65,3.06949,10
66,0.597385,66,2.86041,10
67,0.733979,67,2.69279,10
68,0.618465,68,2.9288,10
69,0.619822,69,2.88294,10
70,0.576571,70,2.66188,10
71,0.820273,71,2.0628,10
72,0.713261,72,2.63951,10
73,0.643507,73,2.66862,10
74,0.793697,74,2.14667,10
75,0.664731,75,2.56055,10
76,0.652647,76,2.80589,10
77,0.57002,77,2.68288,10
78,0.619292,78,2.61858,10
79,0.774321,79,2.14852,10
80,0.704748,80,2.46404,10
81,0.726957,81,2.35866,10
82,0.673593,82,2.58815,10
83,0.63603,83,2.70582,10
84,0.688967,84,2.44977,10
85,0.723625,85,2.54029,10
86,0.749692,86,2.19724,10
87,0.698185,87,2.45551,10
88,0.52111,88,3.33312,10
89,0.520572,89,2.92745,10
90,0.711683,90,2.42516,10
91,0.631376,91,2.75843,10
92,0.699723,92,2.36404,10
93,0.678594,93,2.54602,10
94,0.730991,94,2.40388,10
95,0.593836,95,2.8725,10
96,0.711902,96,2.35582,10
97,0.767897,97,2.21929,10
98,0.69829,98,2.30376,10
99,0.571142,99,2.793,10
100,0.772537,100,2.15533,10
101,0.588186,101,3.03091,10
102,0.463012,102,3.05548,10
103,0.64784,103,3.21441,10
104,0.676084,104,2.56169,10
105,0.646058,105,2.925,10
106,0.56951,106,2.80398,10
107,0.692154,107,2.33584,10
108,0.681894,108,2.54821,10
109,0.71762,109,2.36931,10
110,0.782966,110,2.21299,10
111,0.73803,111,2.38949,10
112,0.719497,112,2.40012,10
113,0.695562,113,2.62703,10
114,0.693449,114,2.27678,10
115,0.67834,115,2.39125,10
116,0.638347,116,2.555,10
117,0.548444,117,3.04996,10
118,0.621557,118,2.38233,10
119,0.749797,119,2.36843,10
120,0.686099,120,2.55777,10
121,0.733024,121,2.39544,10
122,0.657173,122,2.47013,10
123,0.614987,123,2.89612,10
124,0.694773,124,2.65518,10
125,0.590852,125,3.03347,10
126,0.502206,126,3.10988,10
127,0.529325,127,2.90134,10
128,0.645008,128,2.45652,10
129,0.580748,129,2.96364,10
130,0.723555,130,2.23105,10
131,0.728729,131,2.10925,10
132,0.751758,132,2.25035,10
133,0.690908,133,2.30957,10
134,0.655983,134,2.5249,10
135,0.801336,135,2.00274,10
136,0.605198,136,2.85857,10
137,0.676756,137,2.35246,10
138,0.77809,138,1.98514,10
139,0.720751,139,2.13844,10
140,0.706982,140,2.37017,10
141,0.665791,141,2.86876,10
142,0.605066,142,2.49785,10
143,0.611709,143,2.62247,10
144,0.762995,144,2.14888,10
145,0.762959,145,2.29771,10
0,0.678295,0,2.3763,10
1,0.80464,1,1.99255,10
2,0.692708,2,2.36746,10
3,0.698801,3,2.18672,10
4,0.704714,4,2.37353,10
5,0.69449,5,2.43367,10
6,0.69778,6,2.30024,10
7,0.789155,7,2.01157,10
8,0.564396,8,2.99376,10
9,0.673779,9,2.36697,10
10,0.663399,10,2.28307,10
11,0.779692,11,2.11331,10
12,0.712813,12,2.46292,10
13,0.4994,13,3.2207,10
14,0.609266,14,2.51835,10
15,0.8565,15,1.84394,10
16,0.772513,16,1.96365,10
17,0.735302,17,2.13747,10
18,0.598968,18,2.78016,10
19,0.668091,19,2.3805,10
20,0.656254,20,2.36062,10
21,0.667373,21,2.29746,10
22,0.727308,22,2.18275,10
23,0.647148,23,2.50393,10
24,0.69774,24,2.16955,10
25,0.781854,25,1.95346,10
26,0.569071,26,2.71866,10
27,0.712684,27,2.21415,10
28,0.612092,28,2.55825,10
29,0.697242,29,2.35033,10
30,0.612474,30,2.53618,10
31,0.648025,31,2.39886,10
32,0.72007,32,2.14807,10
33,0.640035,33,2.58978,10
34,0.783451,34,1.93991,10
35,0.772814,35,2.09768,10
36,0.521122,36,2.87978,10
37,0.571206,37,2.63295,10
38,0.705059,38,2.59115,10
39,0.688961,39,2.21115,10
40,0.732436,40,2.05272,10
41,0.747824,41,2.10575,10
42,0.653721,42,2.27189,10
43,0.690051,43,2.36483,10
44,0.703558,44,2.08401,10
45,0.696876,45,2.23627,10
46,0.754795,46,2.31827,10
47,0.671714,47,2.41404,10
48,0.586601,48,2.7391,10
49,0.803672,49,1.88633,10
50,0.627334,50,2.69726,10
51,0.637429,51,2.27388,10
52,0.61828,52,2.40469,10
53,0.603241,53,2.71826,10
54,0.687901,54,2.20474,10
55,0.725935,55,2.03669,10
56,0.653753,56,2.46865,10
57,0.817028,57,1.82848,10
58,0.639067,58,2.39804,10
59,0.681318,59,2.336,10
60,0.731776,60,2.208,10
61,0.774949,61,2.02495,10
62,0.641114,62,2.31387,10
63,0.634638,63,2.4714,10
64,0.78018,64,1.99987,10
65,0.538981,65,3.14359,10
66,0.739334,66,2.0509,10
67,0.733841,67,2.1209,10
68,0.543561,68,2.84963,10
69,0.739931,69,2.17545,10
70,0.799917,70,1.997,10
71,0.759136,71,2.21688,10
72,0.720769,72,2.36446,10
73,0.548264,73,2.66848,10
74,0.669454,74,2.46202,10
75,0.762977,75,1.98692,10
76,0.73884,76,1.98979,10
77,0.666209,77,2.36543,10
78,0.61609,78,2.50619,10
79,0.668525,79,2.23154,10
80,0.793254,80,1.81037,10
81,0.768975,81,1.99883,10
82,0.67112,82,2.3184,10
83,0.633855,83,2.4176,10
84,0.685812,84,2.1503,10
85,0.589788,85,2.76513,10
86,0.552796,86,2.33136,10
87,0.654311,87,2.49097,10
88,0.69844,88,2.45267,10
89,0.800082,89,1.79628,10
90,0.529223,90,2.76019,10
91,0.554267,91,2.65048,10
92,0.613734,92,2.59755,10
93,0.685703,93,2.23482,10
94,0.665059,94,2.18672,10
95,0.7399,95,1.85306,10
96,0.634768,96,2.42596,10
97,0.54833,97,2.5817,10
98,0.637857,98,2.21624,10
99,0.669549,99,2.15544,10
100,0.541024,100,2.93082,10
101,0.702739,101,2.06222,10
102,0.606804,102,2.7206,10
103,0.712506,103,2.03139,10
104,0.580523,104,2.46806,10
105,0.626676,105,2.46281,10
106,0.631677,106,2.56564,10
107,0.653622,107,2.23268,10
108,0.756103,108,1.96678,10
109,0.680461,109,2.0996,10
110,0.486374,110,3.07319,10
111,0.754546,111,1.84052,10
112,0.687241,112,2.30069,10
113,0.686556,113,1.98137,10
114,0.71485,114,2.25466,10
115,0.590661,115,2.63908,10
116,0.699689,116,2.25401,10
117,0.712205,117,1.93983,10
118,0.736362,118,2.13758,10
